,orth,base,ctag,chunk
0,Moje,moja,subst:pl:nom:f,0
1,niefortunne,niefortunny,adj:sg:nom:n:pos,0
2,pudła,pudło,subst:sg:gen:n,0
3,przygnębiły,przygnębić,praet:pl:m2:perf,0
4,mnie,ja,ppron12:sg:gen:m1:pri:akc,0
5,do,do,prep:gen,0
6,reszty,reszta,subst:sg:gen:f,0
7,.,.,interp,0
8,Zawsze,zawsze,adv:pos,1
9,miałem,miał,subst:sg:inst:m3,1
10,pretensje,pretensja,subst:pl:nom:f,1
11,",",",",interp,1
12,że,że,comp,1
13,jestem,być,fin:sg:pri:imperf,1
14,dobrym,dobre,subst:sg:inst:n,1
15,myśliwym,myśliwa,subst:pl:dat:f,1
16,",",",",interp,1
17,a,a,conj,1
18,od,od,prep:gen:nwok,1
19,dzieciństwa,dzieciństwo,subst:sg:gen:n,1
20,nie,nie,conj,1
21,rozstawał,rozstawać,praet:sg:m1:imperf,1
22,em,być,aglt:sg:pri:imperf:wok,1
23,się,się,qub,1
24,ze,z,prep:gen:wok,1
25,strzelbą,strzelba,subst:sg:inst:f,1
26,",",",",interp,1
27,a,a,conj,1
28,tu,tu,adv:pos,1
29,wśród,wśród,prep:gen,1
30,obcych,obca,subst:pl:gen:f,1
31,zblamował,zblamować,praet:sg:m1:perf,1
32,em,być,aglt:sg:pri:imperf:wok,1
33,się,się,qub,1
34,jak,jak,conj,1
35,nigdy,nigdy,adv:pos,1
36,w,w,prep:acc:nwok,1
37,życiu,życie,subst:sg:dat:n,1
38,.,.,interp,1
39,Jakże,jakże,adv:pos,2
40,inaczej,inaczej,conj,2
41,strzelał,strzelać,praet:sg:m1:imperf,2
42,em,być,aglt:sg:pri:imperf:wok,2
43,cietrzewie,cietrzew,subst:pl:nom:m2,2
44,i,i,conj,2
45,pardwy,pardwa,subst:sg:gen:f,2
46,z,z,prep:gen:nwok,2
47,moich,moi,subst:pl:gen:m1,2
48,moich,mój,subst:pl:gen:m1,2
49,"""","""",interp,2
50,hollandów,Holland,subst:pl:gen:m1,2
51,"""","""",interp,2
52,",",",",interp,2
53,które,który,adj:sg:nom:n:pos,2
54,pozostawił,pozostawić,praet:sg:m1:perf,2
