,orth,base,ctag,sentence
0,Moje,mój,adj:pl:nom:n:pos,0
1,niefortunne,niefortunny,adj:pl:nom:n:pos,0
2,pudła,pudło,subst:pl:nom:n,0
3,przygnębiły,przygnębić,praet:pl:n:perf,0
4,mnie,ja,ppron12:sg:acc:m1:pri:akc,0
5,do,do,prep:gen,0
6,reszty,reszta,subst:sg:gen:f,0
7,.,.,interp,0
8,Zawsze,zawsze,adv,1
9,miał,mieć,praet:sg:m1:imperf,1
10,em,być,aglt:sg:pri:imperf:wok,1
11,pretensje,pretensja,subst:pl:acc:f,1
12,",",",",interp,1
13,że,że,comp,1
14,jestem,być,fin:sg:pri:imperf,1
15,dobrym,dobry,adj:sg:inst:m1:pos,1
16,myśliwym,myśliwy,subst:sg:inst:m1,1
17,",",",",interp,1
18,a,a,conj,1
19,od,od,prep:gen:nwok,1
20,dzieciństwa,dzieciństwo,subst:sg:gen:n,1
21,nie,nie,qub,1
22,rozstawał,rozstawać,praet:sg:m1:imperf,1
23,em,być,aglt:sg:pri:imperf:wok,1
24,się,się,qub,1
25,ze,z,prep:inst:wok,1
26,strzelbą,strzelba,subst:sg:inst:f,1
27,",",",",interp,1
28,a,a,conj,1
29,tu,tu,adv,1
30,wśród,wśród,prep:gen,1
31,obcych,obcy,adj:pl:gen:m1:pos,1
32,zblamował,zblamować,praet:sg:m1:perf,1
33,em,być,aglt:sg:pri:imperf:wok,1
34,się,się,qub,1
35,jak,jak,adv:pos,1
36,nigdy,nigdy,adv,1
37,w,w,prep:loc:nwok,1
38,życiu,życie,subst:sg:loc:n,1
39,.,.,interp,1
40,Jakże,jakże,adv,2
41,inaczej,inaczej,adv,2
42,strzelał,strzelać,praet:sg:m1:imperf,2
43,em,być,aglt:sg:pri:imperf:wok,2
44,cietrzewie,cietrzew,subst:pl:acc:m2,2
45,i,i,conj,2
46,pardwy,pardwa,subst:pl:acc:f,2
47,z,z,prep:gen:nwok,2
48,moich,mój,adj:pl:gen:m2:pos,2
49,"""","""",interp,2
50,hollandów,holland,subst:pl:gen:m2,2
51,"""","""",interp,2
52,",",",",interp,2
53,które,który,adj:pl:acc:m2:pos,2
54,pozostawił,pozostawić,praet:sg:m1:perf,2
55,em,być,aglt:sg:pri:imperf:wok,2
56,na,na,prep:acc,2
57,wieczną,wieczny,adj:sg:acc:f:pos,2
58,zgubę,zguba,subst:sg:acc:f,2
59,w,w,prep:loc:nwok,2
60,Petersburgu,Petersburg,subst:sg:loc:m3,2
61,.,.,interp,2
62,Poczciwy,poczciwy,adj:sg:nom:m1:pos,3
63,Staś,Staś,subst:sg:nom:m1,3
64,Sierakowski,Sierakowski,subst:sg:nom:m1,3
65,pośpieszył,pośpieszyć,praet:sg:m1:perf,3
66,mi,ja,ppron12:sg:dat:m1:pri:nakc,3
67,z,z,prep:inst:nwok,3
68,pomocą,pomoc,subst:sg:inst:f,3
69,",",",",interp,3
70,by,by,comp,3
71,wyjaśnić,wyjaśnić,inf:perf,3
72,moje,mój,adj:pl:acc:n:pos,3
73,niepowodzenia,niepowodzenie,subst:pl:acc:n,3
74,.,.,interp,3
75,-,-,interp,4
76,Pokaż,pokazać,impt:sg:sec:perf,4
77,mi,ja,ppron12:sg:dat:m1:pri:nakc,4
78,strzelbę,strzelba,subst:sg:acc:f,4
79,-,-,interp,4
80,poprosił,poprosić,praet:sg:m1:perf,4
81,",",",",interp,4
82,a,a,conj,4
83,gdy,gdy,adv,4
84,podał,podać,praet:sg:m1:perf,4
85,em,być,aglt:sg:pri:imperf:wok,4
86,mu,on,ppron3:sg:dat:m1:ter:nakc:npraep,4
87,mojego,mój,adj:sg:acc:m2:pos,4
88,mauzera,mauzer,subst:sg:acc:m2,4
89,",",",",interp,4
90,spytał,spytać,praet:sg:m1:perf,4
91,ze,z,prep:inst:wok,4
92,śmiechem,śmiech,subst:sg:inst:m3,4
93,:,:,interp,4
94,-,-,interp,5
95,Gdzieś,gdzieś,adv,5
96,to,ten,adj:sg:acc:n:pos,5
97,świństwo,świństwo,subst:sg:acc:n,5
98,wykopał,wykopać,praet:sg:m1:perf,5
99,?,?,interp,5
100,-,-,interp,6
101,Ano,ano,qub,6
102,w,w,prep:loc:nwok,6
103,Gdańsku,Gdańsk,subst:sg:loc:m3,6
104,-,-,interp,6
105,odrzekł,odrzec,praet:sg:m1:perf,6
106,em,być,aglt:sg:pri:imperf:wok,6
107,zawstydzony,zawstydzony,adj:sg:nom:m1:pos,6
108,.,.,interp,6
109,-,-,interp,7
110,Chyba,chyba,qub,7
111,był,być,praet:sg:m1:imperf,7
112,eś,być,aglt:sg:sec:imperf:wok,7
113,ślepy,ślepy,adj:sg:nom:m1:pos,7
114,",",",",interp,7
115,kupując,kupować,pcon:imperf,7
116,taką,taki,adj:sg:acc:f:pos,7
117,szkaradę,szkarada,subst:sg:acc:f,7
118,.,.,interp,7
119,Z,z,prep:gen:nwok,8
120,czego,co,subst:sg:gen:n,8
121,strzelał,strzelać,praet:sg:m1:imperf,8
122,eś,być,aglt:sg:sec:imperf:wok,8
123,przed,przed,prep:inst:nwok,8
124,wojną,wojna,subst:sg:inst:f,8
125,?,?,interp,8
126,-,-,interp,9
127,Miał,mieć,praet:sg:m1:imperf,9
128,em,być,aglt:sg:pri:imperf:wok,9
129,hollandy,holland,subst:pl:acc:m3,9
130,-,-,interp,9
131,odrzekł,odrzec,praet:sg:m1:perf,9
132,em,być,aglt:sg:pri:imperf:wok,9
133,.,.,interp,9
134,-,-,interp,10
135,Jedyna,jedyny,adj:sg:nom:f:pos,10
136,rada,rada,subst:sg:nom:f,10
137,-,-,interp,10
138,rzekł,rzec,praet:sg:m1:perf,10
139,w,w,prep:loc:nwok,10
140,końcu,koniec,subst:sg:loc:m3,10
141,Staś,Staś,subst:sg:nom:m1,10
142,po,po,prep:loc,10
143,oględzinach,oględziny,subst:pl:loc:n,10
144,mojej,mój,adj:sg:gen:f:pos,10
145,broni,broń,subst:sg:gen:f,10
146,.,.,interp,10
147,-,-,interp,11
148,Każ,kazać,impt:sg:sec:imperf,11
149,sobie,siebie,siebie:dat,11
150,skrócić,skrócić,inf:perf,11
151,szyję,szyja,subst:sg:acc:f,11
152,na,na,prep:acc,11
153,dobrych,dobry,adj:pl:gen:m3:pos,11
154,kilka,kilka,num:pl:acc:m3:rec,11
155,centymetrów,centymetr,subst:pl:gen:m3,11
156,",",",",interp,11
157,albo,albo,conj,11
158,jeszcze,jeszcze,qub,11
159,lepiej,dobrze,adv:com,11
160,rzuć,rzucić,impt:sg:sec:perf,11
161,to,ten,adj:sg:acc:n:pos,11
162,świństwo,świństwo,subst:sg:acc:n,11
163,do,do,prep:gen,11
164,pieca,piec,subst:sg:gen:m3,11
165,",",",",interp,11
166,a,a,conj,11
167,co,co,subst:sg:nom:n,11
168,się,się,qub,11
169,nie,nie,qub,11
170,spali,spalić,fin:sg:ter:perf,11
171,-,-,interp,11
172,na,na,prep:acc,11
173,śmietnik,śmietnik,subst:sg:acc:m3,11
174,.,.,interp,11
175,Przestrzeń,przestrzeń,subst:sg:acc:f,12
176,dzielącą,dzielić,pact:sg:acc:f:imperf:aff,12
177,je,on,ppron3:pl:acc:n:ter:akc:npraep,12
178,od,od,prep:gen:nwok,12
179,kolejnego,kolejny,adj:sg:gen:m3:pos,12
180,skłonu,skłon,subst:sg:gen:m3,12
181,schodów,schody,subst:pl:gen:n,12
182,pokonało,pokonać,praet:sg:n:perf,12
183,",",",",interp,12
184,kolebiąc,kolebać,pcon:imperf,12
185,się,się,qub,12
186,na,na,prep:acc,12
187,boki,bok,subst:pl:acc:m3,12
188,",",",",interp,12
189,rozkołysanym,rozkołysać,ppas:sg:inst:m3:perf:aff,12
190,kaczym,kaczy,adj:sg:inst:m3:pos,12
191,chodem,chód,subst:sg:inst:m3,12
192,.,.,interp,12
193,Najdziwniejsze,dziwny,adj:pl:nom:n:sup,13
194,jednak,jednak,conj,13
195,było,być,praet:sg:n:imperf,13
196,to,to,subst:sg:nom:n,13
197,",",",",interp,13
198,co,co,subst:sg:nom:n,13
199,nastąpiło,nastąpić,praet:sg:n:perf,13
200,potem,potem,adv,13
201,.,.,interp,13
202,Jego,on,ppron3:sg:gen:n:ter:akc:npraep,14
203,wspinanie,wspinać,ger:sg:nom:n:imperf:aff,14
204,się,się,qub,14
205,na,na,prep:acc,14
206,stopień,stopień,subst:sg:acc:m3,14
207,.,.,interp,14
208,Mianowicie,mianowicie,conj,15
209,najpierw,najpierw,adv,15
210,przed,przed,prep:inst:nwok,15
211,nim,on,ppron3:sg:inst:m3:ter:akc:praep,15
212,stanęło,stanąć,praet:sg:n:perf,15
213,",",",",interp,15
214,niemal,niemal,qub,15
215,do,do,prep:gen,15
216,ń,on,ppron3:sg:gen:m3:ter:nakc:praep,15
217,przywarło,przywrzeć,praet:sg:n:perf,15
218,.,.,interp,15
219,Samo,sam,adj:sg:nom:n:pos,16
220,zresztą,zresztą,qub,16
221,było,być,praet:sg:n:imperf,16
222,niewiele,niewiele,adv,16
223,od,od,prep:gen:nwok,16
224,niego,on,ppron3:sg:gen:m3:ter:akc:praep,16
225,wyższe,wysoki,adj:sg:nom:n:com,16
226,.,.,interp,16
227,A,a,conj,17
228,potem,potem,adv,17
229,z,z,prep:inst:nwok,17
230,olbrzymim,olbrzymi,adj:sg:inst:m3:pos,17
231,wysiłkiem,wysiłek,subst:sg:inst:m3,17
232,zaczęło,zacząć,praet:sg:n:perf,17
233,się,się,qub,17
234,na,na,prep:acc,17
235,ń,on,ppron3:sg:acc:m1:ter:nakc:praep,17
236,wspinać,wspinać,inf:imperf,17
237,",",",",interp,17
238,a,a,conj,17
239,kiedy,kiedy,adv,17
240,betonowa,betonowy,adj:sg:nom:f:pos,17
241,krawędź,krawędź,subst:sg:nom:f,17
242,była,być,praet:sg:f:imperf,17
243,już,już,qub,17
244,w,w,prep:loc:nwok,17
245,połowie,połowa,subst:sg:loc:f,17
246,jego,on,ppron3:sg:gen:n:ter:akc:npraep,17
247,wysokości,wysokość,subst:sg:gen:f,17
248,",",",",interp,17
249,ostrożnie,ostrożnie,adv:pos,17
250,się,się,qub,17
251,pochylając,pochylać,pcon:imperf,17
252,powoli,powoli,adv,17
253,przeważyło,przeważyć,praet:sg:n:perf,17
254,ciężar,ciężar,subst:sg:acc:m3,17
255,ciała,ciało,subst:sg:gen:n,17
256,na,na,prep:acc,17
257,poziomą,poziomy,adj:sg:acc:f:pos,17
258,płaszczyznę,płaszczyzna,subst:sg:acc:f,17
259,stopnia,stopień,subst:sg:gen:m3,17
260,.,.,interp,17
261,Jakby,jakby,qub,18
262,nie,nie,qub,18
263,mogło,móc,praet:sg:n:imperf,18
264,się,się,qub,18
265,zginać,zginać,inf:imperf,18
266,",",",",interp,18
267,jakby,jakby,qub,18
268,kręgosłup,kręgosłup,subst:sg:acc:m3,18
269,miało,mieć,praet:sg:n:imperf,18
270,całkiem,całkiem,adv,18
271,zesztywniały,zesztywniały,adj:sg:acc:m3:pos,18
272,.,.,interp,18
273,W,w,prep:loc:nwok,19
274,końcu,koniec,subst:sg:loc:m3,19
275,udało,udać,praet:sg:n:perf,19
276,się,się,qub,19
277,.,.,interp,19
278,Z,z,prep:inst:nwok,20
279,lekkim,lekki,adj:sg:inst:m3:pos,20
280,stukotem,stukot,subst:sg:inst:m3,20
281,opadło,opaść,praet:sg:n:perf,20
282,na,na,prep:acc,20
283,brzuch,brzuch,subst:sg:acc:m3,20
284,.,.,interp,20
285,Leżąc,leżeć,pcon:imperf,21
286,tak,tak,adv:pos,21
287,",",",",interp,21
288,wydało,wydać,praet:sg:n:perf,21
289,z,z,prep:gen:nwok,21
290,siebie,siebie,siebie:gen,21
291,właśnie,właśnie,qub,21
292,to,ten,adj:sg:acc:n:pos,21
293,jedyne,jedyny,adj:sg:acc:n:pos,21
294,w,w,prep:loc:nwok,21
295,swoim,swój,adj:sg:loc:m3:pos,21
296,rodzaju,rodzaj,subst:sg:loc:m3,21
297,cichutkie,cichutki,adj:sg:acc:n:pos,21
