,base,parts_of_speech,n_occurrences
0,SACLOS,?,2
1,(,?,20236
2,skrót,rzecz,50
3,od,?,3890
4,Semi,?,1
5,-,?,15733
6,Automatic,?,3
7,Command,?,12
8,to,?,3553
9,Line,?,39
10,of,?,968
11,Sight,?,1
12,–,?,10412
13,półautomatyczny,przym,8
14,kierować,czas,217
15,po,?,3539
16,linia,rzecz,244
17,obserwacja,rzecz,103
18,),?,20254
19,metoda,rzecz,232
20,naprowadzać,czas,52
21,pocisk,rzecz,219
22,druga,rzecz,563
23,generacja,rzecz,107
24,.,?,68404
25,wystrzelić,czas,38
26,",",?,58670
27,operator,rzecz,40
28,mój,przym,915
29,za,?,2017
30,zadanie,rzecz,272
31,utrzymanie,rzecz,52
32,celownik,rzecz,20
33,na,?,13915
34,cel,rzecz,661
35,podczas,?,882
36,gdy,przys,494
37,system,rzecz,744
38,elektroniczny,przym,125
39,sam,przys,916
40,być,czas,11420
41,podobna,?,20
42,do,?,10476
43,MCLOS,?,2
44,również,?,1164
45,wymagać,czas,144
46,aby,?,365
47,i,?,20062
48,były,rzecz,954
49,widoczny,przym,61
50,z,?,16036
51,ten,przym,1979
52,różnica,rzecz,138
53,że,?,1743
54,nie,?,3245
55,sterować,czas,38
56,samodzielnie,przys,31
57,lecz,?,210
58,sterowanie,rzecz,50
59,zajmować,czas,388
60,się,?,9532
61,który,przym,4795
62,obserwować,czas,80
63,przez,?,3953
64,w,?,41602
65,jeden,przym,1461
66,względem,?,92
67,celowniczy,rzecz,19
68,radiowy,przym,77
69,przewodowy,przym,11
70,przypadek,rzecz,446
71,znajdować,czas,837
72,znajdywać,czas,631
73,wyrzutnia,rzecz,84
74,wypracowywać,czas,5
75,poprawka,rzecz,20
76,przekazywać,czas,45
77,droga,rzecz,350
78,lub,?,1591
79,zależność,rzecz,88
80,rodzaj,rzecz,285
81,stosowany,przym,289
82,wada,rzecz,41
83,możliwość,rzecz,175
84,zakłócenie,rzecz,7
85,sygnał,rzecz,54
86,zaś,?,202
87,zasięg,rzecz,114
88,limitować,czas,9
89,długość,rzecz,230
90,przewód,rzecz,44
91,ponadto,?,183
92,istnieć,czas,297
93,uszkodzenie,rzecz,80
94,połączenie,rzecz,165
95,trakt,rzecz,166
96,lot,rzecz,336
97,laserowy,przym,40
98,oświetlać,czas,9
99,wiązka,rzecz,32
100,laser,rzecz,36
101,promień,rzecz,62
102,odbić,czas,17
103,podążać,czas,14
104,on,rzecz,7478
105,ślad,rzecz,46
106,radarowy,przym,17
107,wykorzystywać,czas,310
108,głównie,przys,342
109,rakietowy,przym,81
110,przeciwlotniczy,przym,64
111,jednak,?,1151
112,mało,przys,247
113,precyzyjny,przym,33
114,posiadać,czas,467
115,krótki,przym,273
116,wzgląd,rzecz,315
